modele,strategie_desequilibre,cv_roc_auc_mean,cv_pr_auc_mean,cv_recall_mean,cv_f1_mean,cv_precision_mean,test_threshold_default,test_roc_auc,test_pr_auc,test_accuracy,test_precision,test_recall,test_f1,test_tn,test_fp,test_fn,test_tp,test_clients_alertes,temps_entrainement_secondes,best_f1_threshold,best_f1_recall,best_f1_precision,best_f1,best_f1_accuracy,best_f1_fp,best_f1_fn,best_f1_tp,best_f1_tn,modele_final,threshold_recommande
XGBoost_scale_pos_weight,scale_pos_weight,0.7837646320651236,0.26430175111403686,0.5299683976154564,0.35348935450033436,0.26520455130209464,0.5,0.7915520328398622,0.2750316701985008,0.7765,0.26407766990291265,0.6666666666666666,0.37830319888734354,1417,379,68,136,515,1.711163500091061,0.45,0.7352941176470589,0.26548672566371684,0.39011703511053314,0.7655,415,54,150,1381,True,0.2
LogisticRegression_random_over,random_over_sampling,0.7441522668844319,0.2403863910767771,0.673180169503699,0.32089284700424203,0.21065747743279495,0.5,0.737330232761256,0.23748246810991835,0.6845,0.1919191919191919,0.6519607843137255,0.29654403567447046,1236,560,71,133,693,0.35704010003246367,0.65,0.4411764705882353,0.2647058823529412,0.33088235294117646,0.818,250,114,90,1546,False,
LogisticRegression_class_weight,class_weight_balanced,0.7465491571848144,0.2420988412546036,0.6609566903684551,0.31634689219979834,0.20794502492441427,0.5,0.7411786540896982,0.24343070465951716,0.6865,0.19213973799126638,0.6470588235294118,0.2962962962962963,1241,555,72,132,687,0.3025659000268206,0.6,0.5343137254901961,0.2471655328798186,0.33798449612403103,0.7865,332,95,109,1464,False,
LogisticRegression_random_under,random_under_sampling,0.7266927590991061,0.22719814099357583,0.6573026646556058,0.2993738927200118,0.19382864922960438,0.5,0.7287463426350496,0.2317333305187382,0.677,0.18607954545454544,0.6421568627450981,0.28854625550660795,1223,573,73,131,704,0.41387679998297244,0.65,0.4264705882352941,0.24369747899159663,0.31016042780748665,0.8065,270,117,87,1526,False,
LogisticRegression_smote,smote,0.7423633909835138,0.24067818874638047,0.6523827479709833,0.31074971333376605,0.20398653312558968,0.5,0.7306514476614699,0.2408917819878726,0.6775,0.1836441893830703,0.6274509803921569,0.28412874583795783,1227,569,76,128,697,2.278740999987349,0.65,0.46568627450980393,0.2553763440860215,0.3298611111111111,0.807,277,109,95,1519,False,
RandomForest_class_weight,class_weight_balanced_subsample,0.7930051868928057,0.2621670548929412,0.14566724125547656,0.19545006981043003,0.2991480686522215,0.5,0.8027206428228307,0.2821707778752929,0.858,0.30952380952380953,0.31862745098039214,0.3140096618357488,1651,145,139,65,210,10.048853900050744,0.35,0.8186274509803921,0.2617554858934169,0.39667458432304037,0.746,471,37,167,1325,False,
DeepLearning_smote,smote,0.647937817735793,0.17293809001066338,0.19586744954392013,0.1974029859641565,0.1993720603312511,0.5,0.6668768286824752,0.17907746431649427,0.8285,0.2139917695473251,0.2549019607843137,0.232662192393736,1605,191,152,52,243,12.10948590002954,0.1,0.39705882352941174,0.21038961038961038,0.27504244482173174,0.7865,304,123,81,1492,False,
LogisticRegression_baseline,aucun_reequilibrage,0.7431017643508048,0.24018787913707643,0.02815036270918624,0.051848335518483356,0.34303904923599315,0.5,0.7362876108126991,0.2445382006149022,0.897,0.45,0.04411764705882353,0.08035714285714286,1785,11,195,9,20,0.3020506000611931,0.15,0.4950980392156863,0.24754901960784315,0.3300653594771242,0.795,307,103,101,1489,False,
RandomForest_baseline,aucun_reequilibrage,0.8037172914914672,0.2993126657512004,0.0024509803921568627,0.004884004884004884,0.6666666666666666,0.5,0.7999830778636622,0.3124981121148982,0.898,0.0,0.0,0.0,1796,0,204,0,0,9.325758500024676,0.15,0.7843137254901961,0.256,0.38600723763570566,0.7455,465,44,160,1331,False,
